term	polarity
يؤسف له	neg
يضر	neg
يؤخر	neg
يوم القيامة	neg
يهدد	neg
يعوق	neg
يخلط	neg
يبالغ	neg
يؤذي	neg
تشعر بتأنيب الضمير	neg
يهوي	neg
يدين	neg
يعادي	neg
جفاف	neg
محا	neg
قانط	neg
مجفف	neg
قوض	neg
يقوض	neg
يضعف	neg
أوهام	neg
نقد	neg
جمد	neg
تورط	neg
ورط	neg
ينخدع	neg
بذيء	neg
وقح	neg
جاهل	neg
وعظ	neg
المطبات	neg
متخبط	neg
المنخفضات	neg
وضع حرج	neg
نفى من غير محاكمة	neg
انتهت	neg
موصوم	neg
الغيبة	neg
متوسط	neg
رجس	neg
قذر	neg
وسخ	neg
قذارة	neg
نجاسة	neg
وزن زائد	neg
الحكة	neg
حكة	neg
وخز الضمير	neg
متوحد	neg
عدوانية	neg
غريب	neg
تعوزه الحيوية	neg
ملتف	neg
رادع	neg
فضفاض	neg
هيجان	neg
طفح جلدي	neg
هياج	neg
النزوات	neg
بالهلوسة	neg
هلوسة	neg
بالفزع	neg
يتساقط	neg
غير كاف	neg
شاحب	neg
الساخرة	neg
رعشة	neg
طحن	neg
القمامة	neg
هراء	neg
هذيان	neg
هذياني	neg
أزيز	neg
خرب	neg
تقويض	neg
تنهار	neg
المدمر	neg
مخرب	neg
الهجومية	neg
اقتحامي	neg
هاجم	neg
الشتائم	neg
حقر	neg
الخاسرون	neg
الأستحواذ	neg
رخيص	neg
سبات	neg
رسوم	neg
مرثاة	neg
لهاث	neg
أخيرة	neg
الشائعات	neg
إشاعة	neg
ثرثار	neg
رث	neg
نكص	neg
الوخز	neg
وخز	neg
متقلب المزاج	neg
سوء المزاج	neg
أضحوكة	neg
حقد	neg
تناقص	neg
انتقص	neg
النقد الذاتي	neg
يكره	neg
الأشمئزاز	neg
مخلفات	neg
نفايات	neg
لعين	neg
فاشية	neg
تتضاءل	neg
تعصب	neg
كدح	neg
محتال	neg
جفف	neg
نسيان	neg
نزيف	neg
هبوط	neg
السم	neg
نزع السلاح	neg
عداوة	neg
نزاع	neg
نرجسية	neg
ندوب	neg
الملوثين	neg
نتوء	neg
نتن	neg
كريه الرائحة	neg
الخفقان	neg
غير مكتمل	neg
غير كامل	neg
السلبيات	neg
سلبي	neg
سلبية	neg
حارق	neg
نادم	neg
نكتة	neg
على نحو مخالف للعادة	neg
نادر	neg
غير مألوف	neg
حد غير عادي	neg
الانتهازية	neg
تأنيبي	neg
مؤنبا	neg
المغطي	neg
مضر	neg
بشكل ضار	neg
بشكل مؤلم	neg
تمحك	neg
التحدي	neg
مذل	neg
مهينة	neg
هوسي	neg
مدمر	neg
طاحنة	neg
مهزلة	neg
مربى	neg
متوعد	neg
العدواني	neg
لا يقهر	neg
المنهكة	neg
مشقوق	neg
مجزأة	neg
تضخمي	neg
المبعدة	neg
معزول	neg
أعاق	neg
عرقلت	neg
يعيق	neg
ردع	neg
نذير	neg
معوج	neg
منحرفين	neg
جانح	neg
متورم	neg
منفرجة	neg
محتضر	neg
مشحون	neg
المملون	neg
قرح	neg
مسام	neg
على نحو بغيض	neg
متمزق	neg
عدم رغبة	neg
التسويف	neg
شائك	neg
الموبوءة	neg
ملعون	neg
غير تقي	neg
ملحف	neg
مفزع	neg
متعرج	neg
محرق	neg
التهابي	neg
مواجهة	neg
الملاجيء	neg
خدعة	neg
مؤامرة	neg
متآمر	neg
مكروب	neg
مقلي	neg
مقطرة	neg
مقشر	neg
منفرا	neg
الشجار	neg
تعنت	neg
معسر	neg
معد	neg
مفرط	neg
زائد	neg
جدل	neg
مغتاب	neg
جارح	neg
مفترس	neg
فجأة	neg
ساذج	neg
مغص	neg
المتكبرة	neg
بشكل متعجرف	neg
فرط في الإعجاب بنفسه	neg
متعجرف	neg
مغبر	neg
المغالطات	neg
شائن	neg
معيب	neg
عوز	neg
معوز	neg
غير سوية	neg
معلومات خاطئة	neg
متدلى	neg
مكسور	neg
فقراء المعدمين	neg
مساوئ	neg
ضائقة	neg
للضيق	neg
سوء المعاملة	neg
مدمن	neg
المدمن	neg
معاق	neg
معاقبة	neg
مشلول	neg
معاد	neg
اربا	neg
معارضة	neg
المعارضات	neg
الاعتراضات	neg
عدائي	neg
المحاصرين	neg
غث	neg
خاسر	neg
خادع	neg
خفاش	neg
مثير للضحك	neg
مضحكة	neg
ضايق	neg
مضايقة	neg
مصيري	neg
مصيرية	neg
محنة	neg
مقطر	neg
مصادرة	neg
العصابي	neg
محموم	neg
مشؤوم	neg
مشوهة	neg
منفوخ	neg
معطوب	neg
الدجال	neg
مشروعية	neg
مسنن	neg
المشردين	neg
دهني	neg
موسوس	neg
مشاكل	neg
يتدخل	neg
مماحكة	neg
جدال	neg
مشاحنة	neg
مهزار	neg
مطول	neg
مسروق	neg
مصاب بداء الكلب	neg
مبذر	neg
مهروس	neg
ساخر	neg
ساخرا	neg
غير مسؤول	neg
المستقرة	neg
متسول	neg
متستر	neg
مخفف	neg
طاغية	neg
مسبل	neg
قضايا	neg
قضية	neg
موضوع	neg
منمق	neg
مزمن	neg
مربك	neg
مقلق	neg
مغيظ	neg
مشدد	neg
محتقر	neg
محتقن	neg
نوبة غضب	neg
الأكثر رعبا	neg
عليل	neg
غير صحي	neg
معتل	neg
مرهوب	neg
منهك	neg
غير مقبول	neg
خائفة	neg
ضنى	neg
توعك	neg
