Country	Domain	ID	Polarity	Product	Rating	Software	Text
	Software	802	Positive		5.0	Imo	جميل جدا شكرا لجهودكم رائع
Yemen	Political	466	Positive				مشروعك وطني. لذلك خانوك
	Software	704	Positive		5.0	WeChat	البرنامج جميل جدا ولا استخدم غيرة من برامج التواصل لانة مميز عن كل البرامج لكن الان عندي مشكلة متكررة وهي ميزة الرج تتوقف كثيرا ارجو حل المشكلة من الفريق القائم علي البرنامج
Jordan	hotels	4722	Negative	منتجع و فندق البحيرة			منتجع البحيرة ..  حيث يمكنك أن تمتع ناظريك بأوسع تشكيلة شباحات و فانيلات رجالية يمكن أن تجدها في أي مكان .. بألآضافة الى الألعاب المائية التي تشكل تحديا لقرار الحهات المعنية بالسلامة العامة والمطعم العالمي الذي يقدم لك أكثر الأطعمة اثارة للغثيان على الكوكب .. وسوف تستمع قطعا بالجيل الجديد المهجن من الذباب الذي بات بمقدوره -في منتجع البحيرة فقط- أن يلتصق بك حتى و انت في الماء .. و في درجات حرارة استثنائية ..  منتجع البحيرة .. للفشكله .. عنوان ..
Kuwait	entertainment	4224	Positive	حديقة حيوانات الكويت			  جميلة بما فيها من حيوانات وسعر دخولها الصراحة رخيص جدا فيها مطاعم وبريد ونفيش ومن الحيوانات الغزال والاسد والقرود والطيور والزرافة لا تفوتك روحلها
Saudi Arabia	restaurants	3625	Positive	مطعم 2 في 1			  قبل 5 شهور الاكل عندهم طعم مرة اسعارهم زينة الاكل مرة متنوع ولذيذ المحل نظيف ما فية جلسة للعوائل بس للشباب بس خدمة التوصيل متوفرة انصخ فيهم
	Software	1099	Negative		1.0	Line	البرنامج بقي زفت يا ولاد الوسخه خلوه زي اول
	Software	91	Negative		1.0	WhatsApp Messenger	صار في مشكله مؤخرا للاندوريد الاتصال الدولي من اتصل بهم يسمعون الصوت وعندي ماتفتح المكالمة ولا اسمع ممكن ترشدونا ماذا نفعل أم هو خطأ في آخر إصدار. .شكرا
Kuwait	shopping	6087	Positive	جمعية الدعية			  توفر الجمعية مكان خاص لبيع القطايف والتي تعتبر بالنسبة لي من افضل الحلويات الرمضانية خصوصا اذا كانت محشوه بالجبنة
Eygpet	Political	254	Positive				عاش الريس
Jordan	Bakeries and Goodies	986	Negative	حلويات طارق حبيبة			المحل غير نظيف على الاطلاق فرع المجمع الجديد  معلم الكنافة بيمسح مجرود الكنافة بسطل النفايات عشان ينظفه من بواقي الكنافة
	Software	523	Negative		5.0	Chrome	مؤخرا بدات تطلعلي اعلانات باسم Google اعلانات كثيره ومزعجه ارجو ايجاد حل سريع. وحل مشكله كثره الاعلانات الكاذبه التي بإسم شركتكم واعلانات التداول والفيروسات
Yemen	Political	509	Positive				فديت قراطيس قلبك يازعمنا ....عجبنا لماهدد المخلوع انة ادا م يبطل القنفزة بيفضحة
	Software	238	Negative		1.0	Snapchat	عن السناب طفشني 😠😠😠 كل ما احط حساب يقول الخادم الخادم 😣😣😣😣😣شوفو حل
Jordan	Fashion	1667	Positive	بوتيك بيكوم أ موم			3أحلا أواعي حمل بعمّان، ستايلش وسعره ممتاز، بنصح فيه بشدّه
Jordan	Bakeries and Goodies	881	Negative	حلويات فيصل القاضي			السعر عنده مرات بحس أنه أغلى من غيره، مع انه المنطقة اللي هو فيها مش كتير راقية، عادية.
Saudi Arabia	hotels	4697	Negative	ياهلا للوحدات السكنية المفروشة			شقق فاشلة بكل معنى الكلمة لا امانة ولا نظافة ولا ديكور
Qatar	restaurants	6535	Positive	مطعم كبابجى			(جيد جداً) المشاوي خرافية جدا طيبة و المقبلات ممتازة ، الخدمة مش سيئة اسعاره شوي غالية بس اهم شي انه اكله طازج و بتنقى اللحم او الدجاج و قدامك بنطبخ ، بس ما شاءالله دايما ازمة
	Software	1061	Positive		5.0	Asphalt 98	نعم تم حل بعض مشاكل العبه ممتازه
Jordan	Financial Services	4426	Negative	البنك العربي			بنك شايف حالو على الناس التوظيف عندهم صعب جدا الخدمات بصراحة مو منيحة بنظري القروض تعجيزية عندهم حتى للموظفين الحكوميين انا جربتهم اكتر من مرة وللاسف نفس التعامل ونفس الاسلوب السيء وحتى موظفينو كتير سيئئين وهما نفسهم الموظفين كانو يشتكو من ادارتهم
