text	category	polarity
bu ürünü alalı sanırım yaklaşık 3 sene oldu..  ses kalitesi, ses izolasyonu mükemmel... eğer kulağınıza doğru yerleştirir ve equalizerin ayarlarını da tam yaparsanız, profesyonel bir müzik setinin kalitesine yakın bir akustik elde edersiniz... bu fiyata, daha iyisi yok diyorum...	electronics	positive
üründen gayet memnunum markayı pek tanıyarak almadım ama deviri 1200 ve yıkama yaparken gayet sessiz çalışıyor 9kg.lıkhacmi gayet mükkemmel fiyatıda özelliklerine göre uygun tavsiye ederimç.	kitchen	positive
önceki tost makinemiz kenwwodun yarısı kadar kapasiteye sahipti ve etrafı plastik kaplamaydı, boyutu küçük olduğu için bir seferde yeterince tost yapamıyordum zaten 3 yıl içinde de parçalara ayrıldı. kenwood gerçekten çok iyi, bu kadarını beklemiyordum açıkçası. plakaların sabit olmasına ilk başta kafam takılmıştı ama temizliği çok kolay şu ana kadar hiçbir zorlukla karşılaşmadım. ben de çoğu kişi gibi buradaki yorumları değerlendirip satın aldım bu ürünü, ısı ayar düğmesinin olup olmaması pek bir şey fark ettirmiyor, çok hızlı ısınıyor; gerek tost gerek ızgarayı gayet iyi pişiriyor. plakanın teflonu çok kaliteli ve 6 tane tost ekmeği alabiliyor. sağlam bir ürüne ihtiyacınız varsa bu ürün tam size göre..	kitchen	positive
frank millerın aynı adlı,çok satan çizgi roman serisinden yönetmen robert rodriguez ile birlikte sinemaya uyarladıkları sin city(günah şehri),eşine daha önce hiç rastlanmamış bir görsel şölen.siyah-beyaz,resimli roman estetiğindeki filmimiz sıradışı anlatımıyla dikkat çekiyor.sin city;zaman zaman renklenen görüntüleriyle yaratıcı bir sinema zevki yaşatıyor bizlere.aynı zamanda çizgi romanların o alışkın olduğumuz tüm naifliğini de barındırıyor.rodriguez filmin görüntü yönetmenliğini de üstlenerek bütün hünerlerini sergilemiş gerçekten.birbirinden başarılı oyuncuların boy gösterdiği film,tüm zamanların en iyi çizgi roman uyarlamalarından biri olarak sinema tarihine geçmiş durumda.sin city bir efsane ve bu efsanenin mutlaka arşivlerde bulunması lazım.çizgi romanlara alerjisi olanlar,bu filmden uzak durun...	dvd	negative
merhaba, ürün çok güzel 4 proğram cabası istediğiniz proğramda yıkama yapabilirsiniz aynı özellikli ve aynı makinayı tanıdık dışardan bı fiyatın 2 katına almış servis olayını hiç düşünmeyin arçelik ismi yeterli aynı gün geldiler bağladılar makina 2. gün elimezde sakın diğer makinalara iki kat para vermeyin içiniz rahat olsun alın kullanın oldu teşekkürler hepsi burada	kitchen	positive
evimdeki tüm beyaz eşyalarım samsung ve herbirinden ayrı memnunum... söz konusu olan bulaşık makinası da çok iyi asla koku yapmıyor ve çok temiz yıkıyor.evet sepetleri biraz aralıklı fakat bu zamana kadar herhangi bir sorun teşkil etmedi...ve çok sessiz bir makina düşünen herkese gönül rahatlığı ile tavsiye edebilirm...	kitchen	positive
lütfen filmi 3d olarak izlediyseniz yorum yapın da biz de yararlanalım, yoksa her sipariş eden yorum yapmış gibi görünüyor. ilginiz için teşekkürler.	dvd	negative
5tane aynı model  altus bulaşık makinası aldım herkes memnun ayrıca kargodada sorun çıkmadı bu fiyata bu ürün cok hesaplı tavsiye ederim	kitchen	positive
tek veya 2 kişi için ideal bir ürün aldık kulllanıyoruz sıkıntı yok ama nedense siyah renk geldi oda cok önemli değil zaten	kitchen	negative
bu seri dunyanin bir cok yerinde 8 dvdlik special edition baskılarıyla cikti fakat her zamanki gibi turkiyedeki koleksiyoncular nasılsa aziyla yetinir diye 4 dvdlik bir set layık görüldü bize.... bu durumu protesto ediyorum...aynı durum harry potter box sette de mevcut.... box set sadece filmlerin vanilla baskılarını karton kutu icine koymak demek değildir...	dvd	negative
ürünü yaklaşik 4 aydir kullaniyoruz.çok güzel yikiyor,bu fiyata kaçirilmicak bir makina ayrica artisi da 4 program olmasi şiddetle tavsiye edrim.	kitchen	positive
şantiyedeki ofisimize kullanılmak üzere aldık, çabucak geldi ve teslim edildi, gayet memnun kaldık, harika  sorun yokherkese teşekkürler, iyi çalışmalar	kitchen	negative
kapak üzerindeki oyunculara ve filmin ismine bakaraktan aldım filmi ama çok kötü çıktı. sadece para verdim diye seyrettim ve seyrettikten sonra da direkt çöpe attım. arşivimde yer kaplamasına hiç gerek yok	dvd	negative
evet emişgücü çok iyi fakat haznesi hemen doluyor ve ağız kısmından dökülmeye başlıyor.bunun dışında aparatları kaliteli duvar montajı sayesinde el altında olmuyor.yine de elektrikli süpürgeyle içini temizlemek gerekiyor.	electronics	negative
arkadaşlar bu kulaklığın kalitesiz ses vermesiyle ilgili yorumları dikkate almayınız ben bu kulaklığı 3 senedir kullanıyorum.olumsuz yorumların sebebinin kulaklığın yanlış kullanımından kaynaklandığını düşünüyorum.çünkü silikonu kulak deliğinize boşluk kalmayacak şekilde sıkıştırmanız gerekiyor.bunu doğru yaptığınızı da şu şekilde anlarsınız dışarıdaki ses müzik çalmasa bile filtrelenmiş olmalı kulaklığı takmanıza rağmen dış sesleri net duyuyorsanız silikon tam oturmamıştır.bildiğiniz gibi 3 boy silikon var kutu içeriğinde bunları değiştirerek denemenizi tavsiye ederim.	electronics	positive
bu kitabın basımına zaman harcandığını düşünmek bile yeterince can sıkıcı bir durum. yazarın istanbul olarak algıladığı kavram sanırım kendi hayatının kısa bir özeti.	books	negative
wirofon için aldım.yeni kullanmaya başladım,bir kusuru yok.daha önce kullandığım cihaz için karşıdakiler sesin duyulmuyor diyorlardı.philips shm1900 mikrofonlu kulaklik için sesin iyi geliyor diyorlar.gönderici 1 hafta sonra gönderdi onlardan memnun değilim.	electronics	negative
bruce willsin kariyerinin olgun dönemine denk geldiği ustaca kotarlanmış yer yer heyecanın ve aksiyonun bol olduğu kalbur üstü bir film .hayranları kaçırmamalı.	dvd	negative
mutlaka izleyin derim.	dvd	positive
müzik performansı olarak çok iyi baslar net şekilde belirgin kulaktan düşmeyen bi yapısı var müziğin sesini açtığınızda dünyayla ilişkinizi kesiyor tavsiye ederim	electronics	positive
4yıldır bu ürünü kullanıyorum. biraz hırçın şekilde kullandığımdan dolayı 4 senede 2 tane siyah modelini parçaladım. 3. ep630um beyaz olsun belki uğurlu olur. tek vazgeçilmezimdir. sesi ve basslarına hayranım.	electronics	positive
