id	text	polarity
0	sırf bu uygulama mesajlarınız yüzünden bık-tım dedirttiniz. Bravo.!	negative
1	evlere kadar ulaştırmak için çabalıyoruz. Bu hizmeti kimse veremedi. Biz veriyoruz. Herkese fiber :)	positive
2	superonline a gec kafa rahat :)	positive
3	"En sevdiğim şarkı kubat'ın hayat paylaşınca güzel şarkısı. En son aldığım albüm, kubat'ın ""hayat paylaşınca güzel"" albümü."	positive
4	#Superonline alın bu video'yu izleyin. Adil kulanım diye kota koymak, afferin size.	negative
5	ne yani turkcell pahalı mı demek istiyorsun :D ???	negative
6	Oh bee sonunda telefonumun hatti acildi! Tesekkurler #turkcell, yilbasi ustu telefonsuz kalinmazdi	positive
7	gardaşcığım hayat paylaşınca güzel :):)	positive
8	ya saolsun türkcell internet yerlerde sürünüyo bende yarımyamalak bi sevinç yaşıyorum :))	negative
9	BeNce superonline	positive
10	"""Verilen sure icinde belgelerinizi tamamlamadiginiz icin hattiniz aramalara kapatilmistir"" diyen  e koca bi alkış istiyorum"	negative
11	#turkcell 32.000.000 adamı memnun etmek kolay değil biliyorum ama, şu bizim Yaşamkent'teki baz istasyonlarını bi halletseniz şık olmaz mı?	negative
12	Olm 14 tl ye sms paketimi olur Allah belani versin turkcell.	negative
13	Tüketici haklarına başvur tabi sözleşmen senden yanaysa...	negative
14	45dk da anca anlatabildim derdimi sonunda sistemimizde problem var dediniz. Saka misin??	negative
15	cok pahalisiniz.. az dakikali bol internetli uygun fiyatli paket istiyoruz! Mesela 1GB internet+200dk 40TL gibi	negative
16	3 gunde 1 gb nasil biter nasil pis turkcell:(	negative
17	Hayat paylaşınca güzel. :)	positive
18	Sarj aletimi is yerinde unuttum. Avea'min sms'i bitti. Yedek hat Turkcell'e attirdigim 20 tl de gelmedi. Ortada kalakaldim.	negative
19	turkcell.in böle bi kıyak geçeceği aklımın ucundan geçmezdi	positive
20	Sagol Turkcell sen uyarmasan cekilisle bmw kazandigima inanacaktim.	negative
21	aynen bende sırf bıs yuzunden tcell kullanıyorum:)	positive
22	ya birakin su kampanya ayaklarini da 3G'nizi, istanbulun merkezinde telinizin cekmemesi sorunlarina yonelin!	negative
23	daha yetkili benim sersenişlerimi duyup niye cevap vermemiş hani hizmet kalitesi bu mu yirim senin hizetinide kalitenide ...167tl	negative
24	hizmet kalitelerini degerlendirmeniz icin sms atiyor ve 8090'I aramanizi soyluyor. Surekli 1 verirseniz, hat dusuyor. Hizmete bak!	negative
25	sen ne zaman bu milleti APTAL degilde, ABDAL yerine koyacaksin!!!	negative
26	Bi umut açıyorum ya mesajlarını yazıklar olsun sana da bana da Turkcell.	negative
27	Bugün  de bı sorun mü var benim tel mi bozuldu. Bi adam gibi çekmedi. Servis yoklar fln	negative
28	Biliyorum Turkcell beni tuketime kazandirmayi kafana koydun. Bedava smsler, bedava konusma dakikalari internet paketi falan.	positive
29	Aynen benim abim Bingölde yapmıştı askerliğini dağın tepesi, orada bile çekiyormuş Vodafone. TRCELL çekmiyormuş :-)	negative
30	Sabahtan beri turkcell müşteri hizmetleriyle kanka oldum amk o oraya bağlıyo o oraya hal kalmadı zaten çalışcak :D	negative
31	Turkcell hat alcam sana sadece benle mesajlaşcan ama	negative
32	#3kelimeyle2011 Turkcell'le bağlan hayata	positive
33	kardeşim tanıdıgım bi piskiyatır var.. numarasını vereyim.. tansaş,turkcell,avea vb.'den gelen mesajları ona da atarsın ;)	negative
34	Bizim blog Turkcell Blog ödülleri spor dalında ilk10a girmiş, Kazananlar 5 Ocak Perşembe Point Otel'de yapılacak törende açıklanacakmış.	positive
35	Ondan mesaj beklersin ama onun yerine turkcell mesaj atar ya, iste o cok acı.	negative
36	Dostum durduk yerde 20 mb internetimi yedi turkcell. Yarın gidip söyliycem düzeltmezlere aveaya gecıyorum.	negative
37	Kontorum bitti diye turkcell 10 mesaj birden atti.Sakin ol sampiyon!	negative
38	cekim gucu - turkcell = victoria melegi , vodafone = hadise.. Kapsama alani-victoria 180cm , hadise 160cm	positive
39	cok ayip, Fenercell dururken Turkcell de neyin nesi :)	negative
40	"Iphone 4s, 4s uygulamasi ""Seven S.. S.. Sevilir"" yakinda butun TURKCELL'lerde."	negative
41	sayın ciliv bulunuduğum yerde turkcell çekmiyor. reyhanlı hataydan yazıyorum. telefonla konuşmak bizim için eziyet oluyor.	negative
42	turkcell in 3g si kamil kocun aptal wifi indan cok daha ii ki :)	positive
43	#bukutudanevar bu  nin en sağlam reklamı oldu   #turkcell	positive
44	20 Mbit/s  fiber internet hattimdan hala buffer beklemeden video seyredemiyorum #rezalet #superonline	negative
45	Bir sosyal medya faciası da  Facebook sayfasında yaşanıyor. Ah ergenleri başına oturtmaktan ne anlarsınız siz sevgili ajanslar	negative
46	Pazarlama İlkeleri dersimize konuk olarak öğrencilerimize Dijital Pazarlama İletişimi vizyonu katan   çok teşekkürler	positive
47	Çok şükür superonline ile problemim çözüldü.	negative
48	bı cepten ınternete gırebılıyorum nolur bu ruya bıtmesın turkcell	positive
49	Iphone 4S 16GB için, peşin olarak 830 Euro fiyat vermenize rağmen, TİM'lerde bu fiyata sadık kalınmıyor. 2600 TL istendi benden!	negative
50	Online işlem merkezinizi kontrol etmenizi rica ediyorum ! 2 kez farklı tarihlerde işlem yapmak istedim hep sorun çıkartıyor !	negative
51	Superonline da telvzyon ve net bi kabloya bağlı olduğu için tv gittiği zamn net,net gittğinde ise tv gidiyo haberiniz olsun :)	negative
52	Kampanya SMS'lerinden başka iletişim kuramayan #Turkcell ödül almış. Herkes birbirini ağırlamış. Hayat faydasızca güzel.	negative
53	Özturkcell reklami cok iyi olmus abi ya :D suan Türkiye deee sadece 1 tane var :D	positive
54	pis adama bulastin trcell;)	negative
55	günaydın selocan :)	positive
56	superonline :)	positive
57	Sormayın yaa! Hata ettim sanırım. Neyse ki taahhüdüm yok. Geçerim tekrar Turkcell'e... :)	positive
58	Serefsiz turkcell öl geber tamam mi	negative
59	seni seviyorum Turkcell...:) iyi ki varsın...	positive
60	Sizlerden cevap bekliyorum !	negative
61	Var avea, hem bana bugün beleş 250mb internet verdi, bunu bana turkcell verebilir mi sorarım büşra?	negative
62	orospu cocugu turkcell ya online islem yapıcam sifremi göndermiyo	negative
63	ne demiş turkcell ;) hayat paylaşınca güzel ;)	positive
64	tmm tşkrler turkcell facebook sayfası	positive
65	Turkcell`in abone sayisi cook oldugu icin yuzde olarak bu sayilar kucuk kalacak, istediginiz bu mudur?	positive
66	turkcell bize büyük ibnelk yapıyo	negative
67	#teknoloji Samsung'un kompakt cebi Galaxy Y ve QWERTY klavyeli cep Ch Turkcell avantajlarıyla Türkiye'de!	positive
68	Paylaşma muhabbetinden dolayı Turkcell'in makarasını yaptım ama vapurda gazete rafı olayı çok iyi oldu. Yancılık kurumu hala yaşıyor ama :)	positive
69	Samsung ve Turkcellden Kaçırılmayacak Kampanya: Samsung ; her an bağlantıda kalmanızı sağlayan qwerty klavyeli ...	positive
70	Bis servisi tarifesini bir alt kademeye indirince uvey evlat muamelesi goruyorsak isimiz var senle Turkcell!!!	negative
71	onunda bir iPhone 4s si olsun haydi Türkcell yap bu güzelliği:)yada aramızda para toplayalım filan :))	positive
72	mesaj atıyosun turkcell tamam onu anladıkta niye bi mesajı 2345678987654567890987656789 kere atıyosun henüz anlamış değilim????????******	negative
73	aklıma gece 10 da gıttıgımız zafer plazadakı turkcell subesındekı kufur eden calısan geldı lan :D	negative
74	ile Diyarbakir'a gidiyoruz! bu gece Turkcell icin sahne! ;)	positive
75	Neymis efendim turkcell 4 cekermis 100 uzerinden heralde! Telefon faturasina odedigim paralar haram zikkim olsn! Hic bir yerde cekmyor!	negative
76	dıtdıt dıdıt dıııttt turkcell götüne koyayım	negative
77	hayir!	negative
78	gencler Ve kendini genc hisseden herkes gnctrkcll li degil mi;))	positive
79	Avea'yla Vodafone her yerde çekiyor mu bilemem ama ikisinin de Turkcell'i hala çekemediği net.	positive
80	sozlesmesini yaptiginiz aramadiginiz , aramalarina donmediginiz aboneleriniz dahil mi buna	negative
81	hemen bağlanırsa superonline ı seçerm.bi mail atıp sorayım en iyisi :)	positive
82	Turkcell bayileri sanki en ucuzu.  Selin'in Blackberry oradan aldım ben	positive
83	TURKCELL kullansaydın atardım sana ama turkcelli degilsin :P sözde TURKCELL de calsıyorusun :P	negative
84	Bu arada 3430 omurilik felçlilerine gönderilen SMS den 2 sms bedel kesmek nedir  #turkcell	negative
85	kesnlikleee turkcell i kapattr hemen:)	negative
86	1994 yılından bu zamana kadar kullandığım TURKCELL hattımı TURKCELLin tutumdan dolayı Protesto olsun diye kapattım... Yüküm hafifledi...	negative
87	abla senin  le olan didisme noldu ya ?	negative
88	elim telefona gidiyor şunu bir arasam mı diyorum hemen turkcell mantığımı harakete geçiriyor no many :(	negative
89	Kadikoyun ortasinda da 3G cekmiyorsa nerede cekecek, istanbulun gobegi kurtkoyde mi sevgili turkcell?!	negative
90	TTNETi bilmiyorum ama, Superonline'nin servis hizmeti cok ama cok kotuuu	negative
91	Bütün arkadaşlarım Avea'ya geçiyor.Beğendin mi yaptığını Turkcell he beğendin mi ?  geçmeyin yıa :(	negative
92	bu kadar ağır bir internetim hiç olmamıştı. Turkcell çok kötü çokkkk!	negative
93	Aynen kanka ya yemin ederim telefon uçuyo suan :) turkcell farki yaa :)	positive
94	281 lira tel faturasi mi olur turkcell !	negative
95	Keciorene superonline fiber cekiyomus...	positive
96	twitter ile bağlan hayata hayata bağlan twitter ile :D	positive
97	Turkcell 97 liraya veriyor...boş verin aveayı Turkcellden alın =)	positive
98	uzgunum aslinda, nursen duy beni ve turkcell bizi ayirmasin artik, beril sende ac su telefonu soru cozucektin bana	negative
99	Evet çok begendim	positive
100	benden cekecegi var.	negative
101	48 saat daha bekle offff	negative
102	Bu defa da sms altyapin mi pırtladi ulen turkcell? 2012de kılım sana :)	negative
103	sadece quiknet mi var wınnımda var 64 k lik micro sim imde var i pad turkcell 4 çeker:)	positive
104	Bence hayat paylaşınca güzel lalalalalaalaaaa	positive
105	ama sonunda turkcell bayiine götürmeniz daha iyi olur diyorlar. :)	positive
106	askim nasil yollicaksin banaaa ? :D ben kendime yeni hat alirim turkcell daha iyi daha kolay	positive
107	Dur bi mesaj atıyımda sevdiğinden geldi sansın. -Turkcell.	negative
108	4- Hepsiburada'ya, KVK'ya, Turkcell'e, Vodafone'ye Sövesim geldi sövmedim. BlackBerry'e sövesim geliyor, sövmicem. Ben o Noel'inde ...	negative
109	Ruyamda Turkcell'den telefon edeceğinde önce telefondan çıkan reklamı dinlemek zorundaydın. İşim de acildi ve ruya dediğim şey kabustu.	negative
110	En iyisi   düşünmen bile vakit kaybı :D	positive
111	Sadece aradiigimda musteri hizmetlerine ulasabildigim icin turkcell kullanirim avea ve vodafone. Bosuna kampanya vs yapmayin	positive
112	"Telefonumun bozulması sonrasında Turkcell'den gelen ""3."" yedek telefonda bozuk çıktı şu an."	negative
113	Sn TURKCELL eski bir müşteri olarak her ay bana çok güzel geçiriyosunuz bu geçen ay 139.ytl ödedim bu ay 206 fatura yollamışız:)))	negative
114	Turkcell super online 20Mbps fiber internet.En iyisi.Eğer bulduğunuz çevrede varsa fiber internet alt yapısı düşünmeyin bence.	positive
115	bence de... zaten turkcell'le işimiz bitti artık boşver...:D	negative
116	Evet daha hızlı diğe evimize ulaştınız ama daha 20 mbit in 4 ün üzerine çıktığını göremedik.	negative
117	lanet olasın turkcell dedim	negative
118	Bu gece 23:59 da mesaj atıyımda sevdiginden sansın gerizekalı  -Turkcell	negative
119	müzik dinlerken sakin sakin arkadan birden şaaart yoook şuuurrrt yoook diye reklama başlayan turkcell ve zaytung. BSG.	negative
120	Oha çok iyi de, Turkcell'in bahsettiği fiyat bunun çok üzerindeydi..	negative
121	#turkcell Turkcell çekmiyor arkadaş kim ne derse desin, ' Duyuyor musun? ' ' Alo? ' ' Pardon telefon kesildi ' hep aynı Bu nedir arkadaş..	negative
122	2012 ayvalık'ında turkcell çekmiyor	negative
123	Kaç kez sonbohar kaçç kezz dedimm hayaaaatt ! Vodafone Freezone kullanmıyorum ama hoşuma gidiyorum.. Ben GENÇ TURKCEL. TÜRKCEL'LİNİN GÜCÜ !	positive
